Target,Number Shuffled,Percent Correct
State,All,52%
State,Shuffled100,0%
State,Shuffled200,0%
State,Shuffled300,6%
State,Shuffled400,4%
State,Shuffled500,2%
State,Shuffled1000,7%
State,Shuffled5000,21%
State,Shuffled10000,24%
State,Shuffled50000,37%
State,Shuffled100000,42%
State,Shuffled200000,48%
Generation,All,71%
Generation,Shuffled100,52%
Generation,Shuffled200,42%
Generation,Shuffled300,53%
Generation,Shuffled400,49%
Generation,Shuffled500,46%
Generation,Shuffled1000,46%
Generation,Shuffled5000,56%
Generation,Shuffled10000,59%
Generation,Shuffled50000,64%
Generation,Shuffled100000,72%
Generation,Shuffled200000,70%
Party,All,80%
Party,Shuffled100,52%
Party,Shuffled200,48%
Party,Shuffled300,56%
Party,Shuffled400,51%
Party,Shuffled500,55%
Party,Shuffled1000,56%
Party,Shuffled5000,63%
Party,Shuffled10000,67%
Party,Shuffled50000,74%
Party,Shuffled100000,77%
Party,Shuffled200000,79%
Sentiment,All,
Sentiment,Shuffled100,48%
Sentiment,Shuffled200,50%
Sentiment,Shuffled300,44%
Sentiment,Shuffled400,52%
Sentiment,Shuffled500,54%
Sentiment,Shuffled1000,55%
