Senator,Handle,Gender,State,Political_Party,Date_Entered_Office,Birthdate
Jeff Sessions,,M,Alabama,Republican,1/3/1997,12/24/1946
Luther Strange,,M,Alabama,Republican,2/9/2017,3/1/1953
Doug Jones,SenDougJones,M,Alabama,Democrat,1/3/2018,5/4/1954
Jeanne Shaheen,SenatorShaheen,F,New Hampshire,Democrat,1/3/2009,1/28/1947
John McCain,,M,Arizona,Republican,1/3/1987,8/29/1936
Tom Cotton,SenTomCotton,M,Arkansas,Republican,1/3/2015,5/13/1977
Kristen Gillibrand,SenGillibrand,F,New York,Democrat,1/26/2009,12/9/1966
Chris Murphy,ChrisMurphyCT,M,Connecticut,Democrat,1/3/2013,8/3/1973
Bob Casey Jr.,SenBobCasey,M,Pennsylvania,Democrat,1/3/2007,4/13/1960
Mazi Hirono,maziehirono,F,Hawaii,Democrat,1/3/2013,11/3/1947
Time Kaine,timkaine,M,Virginia,Democrat,1/3/2013,2/26/1958
Shelley Moor Capito,SenCapito,F,West Virginia,Republican,1/3/2015,11/26/1953
Al Franken,,M,Minnesota,Democrat,7/7/2009,5/21/1951
Thad Cochran,,M,Mississippi,Republican,12/27/1978,12/7/1937
Clair McCaskill,clairecmc,F,Missouri,Democrat,1/3/2007,7/24/1953
Steve Daines,SteveDaines,M,Montana,Republican,1/3/2015,8/20/1962
Sheldon Whitehouse,SenWhitehouse,M,Rhode Island,Democrat,1/3/2007,10/20/1955
Elizabeth Warren,SenWarren,F,Massachusetts,Democrat,1/3/2013,6/22/1949
Pat Toomey,SenToomey,M,Pennsylvania,Republican,1/3/2011,11/17/1961
Todd Young,SenToddYoung,M,Indiana,Republican,1/3/2017,8/24/1972
Tina Smith,SenTinaSmith,F,Minnesota,Democrat,1/3/2018,3/4/1958
Thom Tillis,SenThomTillis,M,North Carolina,Republican,1/3/2015,8/30/1960
Ted Cruz,SenTedCruz,M,Texas,Republican,1/3/2013,12/22/1970
Debbie Stabenow,SenStabenow,F,Michigan,Democrat,1/3/2001,4/29/1950
Sherrod Brown,SenSherrodBrown,M,Ohio,Democrat,1/3/2007,11/9/1952
Richard Shelby,SenShelby,M,Alabama,Republican,1/3/1987,5/6/1934
Chuck Schumer,SenSchumer,M,New York,Democrat,1/3/1999,11/23/1950
Ron Johnson,SenRonJohnson,M,Wisonsin,Republican,1/3/2011,4/8/1955
Rob Portman,SenRobPortman,M,Ohio,Republican,1/3/2011,12/19/1955
Pat Roberts,SenPatRoberts,M,Kansas,Republican,1/3/1997,4/20/1936
Orrin Hatch,SenOrrinHatch,M,Utah,Republican,1/3/1977,3/22/1934
Mike Lee,SenMikeLee,M,Utah,Republican,1/3/2011,6/4/1971
Ed Markey,senmarkey,M,Massachusetts,Democrat,7/16/2013,7/11/1946
Kamala Harris,SenKamalaHarris,F,California,Democrat,1/3/2017,10/20/1964
Jon Kyl,SenJonKyl,M,Arizona,Republican,9/5/2018,4/25/1942
John Thune,SenJohnThune,M,South Dakota,Republican,1/3/2005,1/7/1961
John Kennedy,SenJohnKennedy,M,Louisiana,Republican,1/3/2017,11/21/1951
John Hoeven,SenJohnHoeven,M,North Dakota,Republican,1/3/2011,3/13/1957
John Barrasso,SenJohnBarrasso,M,Wyoming,Republican,6/25/2007,7/21/1952
Jeff Merkley,SenJeffMerkley,M,Oregon,Democrat,1/3/2009,10/24/1956
Jack Reed,SenJackReed,M,Rhode Island,Democrat,1/3/1997,11/12/1949
Cindy Hyde-Smith,SenHydeSmith,F,Mississippi,Republican,1/2/2018,5/10/1959
Gary Peters,SenGaryPeters,M,Michigan,Democrat,1/3/2015,12/1/1958
