id,created_at,text,Rating
1.11639E+18,4/11/2019 17:10,"b'If the 2018 elections taught us anything, it should be that Democrats can win when we work together. And in 2020, w\xe2\x80\xa6 https://t.co/k7GbDYrVpd'",2
1.11633E+18,4/11/2019 13:09,"b'After Abigail was born, I took on the insurance companies to pass one of the first laws in the country guaranteeing\xe2\x80\xa6 https://t.co/dPKMqOh2AP'",0
1.11615E+18,4/11/2019 1:27,b'!!!  It took New Zealand 26 days to act on gun control. Congress has been stalling for years. https://t.co/jvR0Pi8Ssl',0
1.11615E+18,4/11/2019 1:17,"b'While I enjoyed announcing my candidacy in a blizzard, enough already.  This is the last big snow of the year! Heav\xe2\x80\xa6 https://t.co/wSyqF1cPA7'",2
1.11612E+18,4/10/2019 23:29,b'We can\xe2\x80\x99t let the gun lobby write our laws. My bill in the Violence Against Women Act to close the boyfriend loophol\xe2\x80\xa6 https://t.co/qF4KeYfEBt',0
1.1161E+18,4/10/2019 22:11,b'Many of our schools are in disrepair and the problem disproportionately affects low-income communities and communit\xe2\x80\xa6 https://t.co/FY8ndzS31c',0
1.11602E+18,4/10/2019 16:48,b'Excited about our New Hampshire team! https://t.co/FmqITtV556',2
1.11602E+18,4/10/2019 16:40,b'Thanks @LIUNAMinnesota ! https://t.co/uQdvN0SNmk',2
1.11602E+18,4/10/2019 16:34,"b'Thanks to the National Building Trades for the warm welcome today.  When our building trades are strong, our buildi\xe2\x80\xa6 https://t.co/GHJrNcHGfI'",2
1.11601E+18,4/10/2019 16:21,"b'RT @KThomasDC: .@amyklobuchar brings the @NABTU audience to their feet by invoking 4 words: ""Former Governor Scott Walker.""'",0
1.11599E+18,4/10/2019 14:31,b'One more reason we have to win in 2020: McConnell announces net neutrality \xe2\x80\x9cdead on arrival.\xe2\x80\x9d Winning on Net Neutra\xe2\x80\xa6 https://t.co/f3cSKVfkOK',0
1.11598E+18,4/10/2019 13:57,b'.@lucymcbath is an inspiration. I\xe2\x80\x99m with her in the fight for stronger gun safety laws to help make sure what happe\xe2\x80\xa6 https://t.co/fuIC1qctOf',2
1.11578E+18,4/10/2019 1:11,b'We shouldn\xe2\x80\x99t be punished for success. I\xe2\x80\x99m urging the TSA to give @mspairport the support they need to bring down wa\xe2\x80\xa6 https://t.co/eipCiIOm9B',2
1.11573E+18,4/9/2019 21:38,b'There\xe2\x80\x99s no way around it \xe2\x80\x94 lives are at stake when people can\xe2\x80\x99t afford the medication they need to survive. I\xe2\x80\x99ve be\xe2\x80\xa6 https://t.co/8QRi9s77ri',0
1.11567E+18,4/9/2019 17:36,b'Congrats to @BettyMcCollum04 for winning the MN hot dish contest and @SenTinaSmith for graciously hosting!  And tha\xe2\x80\xa6 https://t.co/hIqqGA39Uf',2
1.1156E+18,4/9/2019 12:49,b'And you wonder why your drug prices are so high....Republicans Are Warning Drug Companies Not To Cooperate With A C\xe2\x80\xa6 https://t.co/e6KLdAIuOm',0
1.11558E+18,4/9/2019 11:24,b'This is outrageous and failed once. It will fail again: Trump reportedly wants to revive one of his least-popular p\xe2\x80\xa6 https://t.co/eXx6TwUOBt',0
1.11556E+18,4/9/2019 10:07,b'Good morning!  It is never too early (or too late) to join our team! https://t.co/JHpvS4IKiQ',1
1.11545E+18,4/9/2019 3:04,b'I learned a lot being the parent of a sick kid \xe2\x80\x94 like that an insurance-mandated 24-hour hospital stay for new moms\xe2\x80\xa6 https://t.co/kekbfeaL2J',1
1.11642E+18,4/11/2019 19:06,b'This is a garbage hot take. Read the indictment and then name some actual journalists who conspire to hack U.S. def\xe2\x80\xa6 https://t.co/bJ6UQA38Z2',0
1.11634E+18,4/11/2019 14:17,b'The U.S. Department of Justice\xe2\x80\x94&gt; https://t.co/XmEAgnSZfB',1
1.11633E+18,4/11/2019 13:01,b'It\xe2\x80\x99s good that Assange will be getting his day in court but let\xe2\x80\x99s be clear: Vlad Putin doesn\xe2\x80\x99t give a damn about hu\xe2\x80\xa6 https://t.co/ANOnaTGBot',0
1.11628E+18,4/11/2019 10:06,b'This arrest is good news for freedom-loving people. Julian Assange has long been a wicked tool of Vladimir Putin an\xe2\x80\xa6 https://t.co/CUQx4SDI1n',0
1.11628E+18,4/11/2019 9:50,b'RT @KevinThomasLNK: #Nebrasketball https://t.co/E0GhWaPDkT',1
1.11597E+18,4/10/2019 13:47,"b'in case you were wondering, John Daly has arrived in Augusta.... https://t.co/AmGszdVE79'",1
1.11579E+18,4/10/2019 1:38,"b'(dispatch from home tonight)\n\nMy wife: ""Why were your eyes open during the prayer?"" \n\nMy 7-yr-old: ""It helps me foc\xe2\x80\xa6 https://t.co/ktrpwvNIJY'",1
1.11579E+18,4/10/2019 1:35,b'my bad https://t.co/kd4SAUkjS8',1
1.11579E+18,4/10/2019 1:28,b'Ranchers are incredible people. Read this\xe2\x80\x94&gt; https://t.co/TQc7jYUrO0',2
1.11458E+18,4/6/2019 17:11,"b'RT @NTVNEWS: Senator Ben Sasse says he is visiting the hardest-hit areas, as he  makes a stop in Wood River to ask for more regulatory reli\xe2\x80\xa6'",2
1.11432E+18,4/6/2019 0:19,b'RT @ShannonHeckt: Senator @BenSasse is in Wood River to discuss flooding damage and seeing how farms and grain plants are affected https://\xe2\x80\xa6',1
1.1143E+18,4/5/2019 22:33,b'RT @jameswegmann: .@BenSasse\xe2\x80\x99s statement on news that WH is preparing to designate IRGC as a Foreign Terrorist Organization. https://t.co/n\xe2\x80\xa6',1
1.11429E+18,4/5/2019 22:22,"b'RT @BrianNBCNEB: U.S. @SenSasse, @NEFarmBureau President Steve Nelson and @NeCattlemen President Mike Drinnin came to the Western Nebraska\xe2\x80\xa6'",1
1.11429E+18,4/5/2019 22:20,"b'this ethanol plant in Columbus needs to replace 1,000 traincar axels that were damaged by the flood\xe2\x80\x94&gt; https://t.co/g9j7GgoTwS'",1
1.11248E+18,3/31/2019 22:04,b'I fell off a treadmill once... https://t.co/mTC2TnS30D',1
1.11248E+18,3/31/2019 22:03,b'The Mayor needs a new twitter handle... https://t.co/VuSfbdYvDQ',1
1.1121E+18,3/30/2019 21:13,b'RT @Huskers: Introducing your new @HuskerHoops Head Coach...\n\nFred Hoiberg.\n\n\xf0\x9f\x94\x97: https://t.co/F59IJZ6sh4\n\n#GBR https://t.co/kwuV6HJ80y',1
1.11203E+18,3/30/2019 16:41,b'The best college sports town in America has a new mayor https://t.co/eTvNgFVAXm',1
1.11106E+18,3/28/2019 0:28,b'\xe2\x80\x9cBrenda Garcia lost her home in the flood. But no sooner had she taken shelter at the local Lutheran church than sh\xe2\x80\xa6 https://t.co/R29HuwQbz2',0
1.11106E+18,3/28/2019 0:25,b'Good or bad \xe2\x80\x93 Nebraskans pull together says Senator Sasse https://t.co/C9YM8CHC4h',1
1.10956E+18,3/23/2019 21:10,b'RT @GovRicketts: Fremont Mayor Getzschman briefed @SenSasse @JeffFortenberry + me this morning on flood response. Great job by the mayor +\xe2\x80\xa6',1
1.1165E+18,4/12/2019 0:30,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 \n\nhttps://t.co/Hep3Hnr0Sc',1
1.11645E+18,4/11/2019 21:34,b'Louisiana is heating up -- time to dig out my \xf0\x9f\x95\xb6 shades again #TBT https://t.co/wuHdY1jBpa',1
1.11602E+18,4/10/2019 16:56,"b'Do you stand with President Trump? We\xe2\x80\x99ve set a goal to add 10,000 more names to our Official Presidential Support p\xe2\x80\xa6 https://t.co/JYFyfg3PnG'",2
1.11565E+18,4/9/2019 16:13,b'#ICYMI @JohnKennedyLouisiana and I met with @RussVought and @SecretaryCarson to get the federal assistance that the\xe2\x80\xa6 https://t.co/huxqlYJBnt',1
1.11533E+18,4/8/2019 19:00,b'March Madness bracket on fire? You can cool down your drink at least with one of our new koozies. Chip in just $7 t\xe2\x80\xa6 https://t.co/s0tlU4gTXo',1
1.11527E+18,4/8/2019 15:00,"b'Thrilled to see that @CenturyLink, one of northern Louisiana\xe2\x80\x99s top employers, has extended its stay in Monroe!\n\nhttps://t.co/ZWLo41SoH8'",2
1.11498E+18,4/7/2019 19:52,b'How far will the Left go to risk the lives of unborn babies? They\xe2\x80\x99ve had 29 chances to do the right thing. Enough i\xe2\x80\xa6 https://t.co/wKQlxc63Sr',0
1.11454E+18,4/6/2019 15:00,b'It\xe2\x80\x99s (spring) game day! @LSUfootball is back!\n\nhttps://t.co/0nFIYe1NUC',1
1.11426E+18,4/5/2019 20:10,b'This Sunday is World Health Day. I am proud to have dedicated my life to helping patients. I am even more proud to\xe2\x80\xa6 https://t.co/3waupgZO8Y',2
1.11422E+18,4/5/2019 17:36,"b""196k jobs added in March confirms that President @realDonaldTrump's pro-growth economic policies are working to ben\xe2\x80\xa6 https://t.co/YgvMv8kQt7""",2
1.11384E+18,4/4/2019 16:20,b'#ICYMI Our Louisiana ports are growing and investing millions into our coastal communities. Read about our surging\xe2\x80\xa6 https://t.co/csiCIYuB8V',2
1.11353E+18,4/3/2019 20:00,b'Make no mistake: there is absolutely a crisis on our southern border. We can\xe2\x80\x99t afford to keep withholding desperate\xe2\x80\xa6 https://t.co/pt69TWvvA0',0
1.11345E+18,4/3/2019 14:30,b'It\xe2\x80\x99s time for real health care reform: \nImproved options \xe2\x9a\x95\xef\xb8\x8fMore competition \xe2\x9a\x95\xef\xb8\x8fMore transparency \xe2\x9a\x95\xef\xb8\x8fBetter health out\xe2\x80\xa6 https://t.co/w9SlAX3Mf9',1
1.1132E+18,4/2/2019 22:11,b'Do you support our President\xe2\x80\x99s America First Agenda? Add your name to our growing list of President Trump\xe2\x80\x99s top sup\xe2\x80\xa6 https://t.co/kDcGzWWVZn',2
1.11314E+18,4/2/2019 18:10,b'Did you catch our new koozies? They\xe2\x80\x99re selling out fast! Perfect for keeping your drink cold all through March Madn\xe2\x80\xa6 https://t.co/RQZdX29KUo',1
1.11307E+18,4/2/2019 13:40,"b'From giving our beautiful rural regions much deserved attention to providing an extra boost to our local economy, r\xe2\x80\xa6 https://t.co/plzRBLcf0D'",2
1.11284E+18,4/1/2019 22:10,b'Moms and dads should have the financial flexibility to pursue a career and raise a family. I am fighting for a paid\xe2\x80\xa6 https://t.co/fmKj7R28SH',2
1.1128E+18,4/1/2019 19:36,"b'I couldn\xe2\x80\x99t agree more, the Green New Deal has no place in Louisiana! I\xe2\x80\x99m fighting for real solutions to lower our g\xe2\x80\xa6 https://t.co/ngB91Z1bSG'",0
1.11205E+18,3/30/2019 18:00,b'Abortion rates in our state are at a 10-YEAR LOW. But our work fighting for life isn\xe2\x80\x99t finished yet. Add your name\xe2\x80\xa6 https://t.co/04bniKD5cS',2
1.1118E+18,3/30/2019 1:22,"b'Unfortunate loss, but so proud of this team. #GeauxTigers! @LSUBasketball https://t.co/dKzfLNagx9'",2
9.83393E+17,4/9/2018 17:17,"b'Now that the Republican primary has essentially concluded, I am sending a contribution to Representative Marsha Bla\xe2\x80\xa6 https://t.co/r5bU7EYDor'",1
9.12142E+17,9/25/2017 2:29,b'Inspired by the stories of heroism in Antioch today. Grateful for those brave individuals and for our incredible first responders.',2
9.11345E+17,9/22/2017 21:43,b'I agree with @realDonaldTrump. We have an incredible opportunity before us to get tax reform done on behalf of the\xe2\x80\xa6 https://t.co/UvRE7aZyX2',2
9.10914E+17,9/21/2017 17:08,"b'""We\xe2\x80\x99re just getting going, but no doubt, we have passed a major threshold."" #enditmovement \xe2\x9d\x8c  https://t.co/UWroPguvNN'",1
9.10582E+17,9/20/2017 19:09,"b'""After years of ambiguous messaging, @realDonaldTrump\'s direct approach was a welcomed change...""  #UNGA https://t.co/rngwlUmQI3'",1
9.09838E+17,9/18/2017 17:53,"b""Happy 70th birthday, @USAirForce! We're grateful for the sacrifice airmen and airwomen make each day. #AFBDay https://t.co/HZFZfewE5m""",2
9.09828E+17,9/18/2017 17:13,b'RT @GOPChairwoman: .@SenBobCorker: Passing comprehensive tax reform will be an important step in the right direction. https://t.co/b9QL8OYv\xe2\x80\xa6',2
9.08806E+17,9/15/2017 21:34,b'Very productive meeting at the White House today: https://t.co/hvhsFe9wyf',2
9.08798E+17,9/15/2017 21:00,"b""Check out President Trump's Weekly Address Here: https://t.co/Le5p9w9Wjn""",1
